'Erdos815.theorem_2_5' depends on axioms: [propext, Quot.sound]
'Erdos815.aSeq_isKAvoiding' depends on axioms: [propext, Quot.sound]
'Erdos815.aSeq_isOddEven' depends on axioms: [propext, Quot.sound]
'Erdos815.aSeq_matches_paper' depends on axioms: [propext]
'Erdos815.gt_isDegree3Critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.GT_card_edgeFinset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.Is13Tree.two_mul_card_leafFinset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.GT_degree_inl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.GT_degree_inr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.no_cycle_23_of_no_leaf_path_20' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_1_i_mp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.leafPath_of_cycle_cons' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.cycle_cons_xy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.edge_xy_mem_edges_of_odd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.exists_walk_of_support_inl' depends on axioms: [propext]
'Erdos815.leaf_color_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_2_iv_only_if' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.TTree_isEvenTree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.TTree_is13Tree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_2_i' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.leafLeafPath_length' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.leafLeafPath_le_of_idx_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.leafLeafPath_eq_of_idx_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.TTree_isTree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.TTree_isAcyclic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.TTree_preconnected' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.isLeaf_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.pathV_isDeg3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.treeV_isDeg3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.treeV_isLeaf' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.exists_upPath' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.exists_segPath' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.exists_leafWalk_of_idx_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.exists_leafPath_of_idx_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_2_ii' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_2_iii' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.lemma_2_2_iv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.erdos_815' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.theorem_1_2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.theorem_1_3_ii' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.aSeq_le_nine' depends on axioms: [propext, Quot.sound]
'Erdos815.xA_isOddEven' depends on axioms: [propext, Quot.sound]
'Erdos815.xA_xMax_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.famG_isDegree3Critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.famG_no_cycle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.famG_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.card_TVtx_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.IsDegree3Critical.of_iso' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.hasCycleOfLength_of_iso' depends on axioms: [propext, Quot.sound]
'Erdos815.finGraph_isDegree3Critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos815.finGraph_no_cycle' depends on axioms: [propext, Classical.choice, Quot.sound]
